"artist_name","album_name","release_date","album_id","year","song_id","song_name","tempo","loudness","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","genre","rock"
"Wire","Wire 1985-1990: The A List","1993-05-18","0YpX3Qd9H1IosnFmErWiCz",1993,"7Cd74dHW4x6Tv1f2dZgQon","Madman's Honey - The A List Version",134.644242959163,-7.45538197851501,0.450358763639762,0.417898478037065,0.467613225379669,0.362017924724247,0.491660259662727,0.299315778211524,0.304634952394745,0.400323425565696,0.35363274631251,0.43201468242554,0.305824861367491,0.483274492546386,50.9915905433093,69.7239459736551,5.11307431682758,-20.0946880822152,-10.3166178702456,-33.1935922447706,-0.758142256640689,4.52458666751922,-3.09877638004646,4.37914174799138,-6.56315743748647,-3.39053899074009,"post-punk",0
"Siouxsie and the Banshees","The Scream (Deluxe)","1978-11-13","5NlfouMUC3E7S0qXfKskEk",1978,"0SJX5R7GToidQwaMXabpKy","Mirage - Pathway Session",94.4163940991655,-5.02584030226008,0.247510121058121,0.32089725026649,0.326495052692479,0.264232810536389,0.588554526537164,0.39040625856333,0.415669189662707,0.442649572546747,0.290993315956645,0.427483265030683,0.260254385615682,0.363699065580245,53.5854318776291,106.928678217066,28.8608941361483,-3.50144834262269,-5.00367219140259,-27.1056465874967,2.60800954774423,-4.51356274636007,-6.79318294778784,-0.036545917492939,-6.81241512404022,3.23810840999337,"post-punk",0
"Boys Like Girls","NOW That's What I Call Music 29, 30, 31","2009-01-01","67C96QsTFtr2y1anvpoDgp",2009,"38Qs9sgc0ofGIXHEckEALI","Don't Think I Don't Think About It",95.0369063075996,-12.4118233423837,0.0856134036510547,0.165587490447551,0.327795415219804,0.163886423387063,0.462676620445986,0.10802896446101,0.121667005661479,0.135939024079245,0.130854514188527,0.463234537732434,0.119614850720688,0.160771939605148,44.5070039077268,61.0649310547014,21.3921474355175,5.47582325379351,7.19940195712847,-13.2872457455002,1.24027500401922,10.6017742296073,7.41160607298753,1.33572038403571,-9.33045242737033,9.70650515090779,"post-punk",0
"Boy Harsher","Careful","2019-02-01","0fVsToJ6TTDmr1LM4002mr",2019,"2tRg2o2AIUa8h3Sv4cJlpc","The Look You Gave (Jerry)",84.3997248153932,-6.60571618138111,0.224273652936573,0.540708206715149,0.389671852902606,0.23084473010917,0.351750094761719,0.158020185895525,0.324529784052104,0.168315967810466,0.271207540951584,0.452280962766823,0.196441190431641,0.339778451283702,49.2873586357836,20.9313537356522,-0.914041856691715,-11.7100349200251,31.9538127820959,-24.4438168647226,-5.24210822839149,-8.71449732062217,-4.16688261806514,-2.49590388883187,-9.81925247596235,3.98221296680391,"post-punk",0
"Dinosaur Jr.","Without a Sound","1994-08-23","0yxM1OyaFOZiJhi9eNThE4",1994,"13B250w6Pq4jKOHajYwWhe","Over Your Shoulder",156.304506649816,-6.60520342587437,0.557571871401498,0.576169642431156,0.562287912256271,0.419638952013938,0.426571700827634,0.490327865351791,0.564528653057269,0.453972919056684,0.426723449390076,0.531853358421399,0.293100967731275,0.408272570174131,49.5139356262235,23.9230787715671,18.8461557961536,7.78624908155324,32.6027639487062,-15.7536861460896,19.6654167941201,6.39087249174387,-8.69733607967317,-8.28377993893761,-10.8449486410367,3.40133638220557,"post-punk",0
"The Smiths","The Queen Is Dead (Deluxe Edition)","1986-06-16","0vlgxCvO6LQXTR06b8r2rj",1986,"66xHkdUeQUaCTT9JmSHtqy","The Queen Is Dead - Full Version",120.372986696337,-13.0075213125755,0.717103819358326,0.693398352603375,0.27460210720574,0.444084740163986,0.205978649010844,0.217464550678974,0.270981881835378,0.189595943801814,0.257615456659736,0.22353922477765,0.32254445543877,0.401536035229674,42.0568457346462,-37.9615420401716,-44.2641500842788,11.3870553671584,6.94092719048894,-41.9823465798515,-5.12194219308674,-5.98190740343102,-5.93359866007072,-3.77856820035036,-9.93689244549131,-4.56116949006779,"post-punk",0
"Dinosaur Jr.","Sweep It Into Space","2021-04-23","5nq7eeznlbbS4koADLXd5k",2021,"0olFV9OYyxFTENCeshX8VT","To Be Waiting",134.782341892389,-5.7654442492011,0.287537543264399,0.570752890789433,0.231473559516828,0.325889681322727,0.39887740096047,0.242650894477929,0.411545150649935,0.362802478822293,0.547817227630267,0.308054091032367,0.255101599508339,0.377694726769906,52.1703238602849,57.4276332822833,34.4107209851974,-4.11334904706977,17.0481288938865,-22.9750566688822,4.5689505814788,3.2287337636457,-9.72119687990944,0.397427249261238,-6.22107046388313,-0.0360179341478479,"post-punk",0
"Hawthorne Heights","Zero","2013-09-02","4lqaZx8tSfw0fZ4yTP82AC",2013,"51AcZiRLxJfgyFaxR2txP5","Golden Parachutes",119.882028456764,-10.3031669154248,0.637543380724211,0.596647326799703,0.511705087541359,0.486029276228335,0.306351445327523,0.273535902217067,0.153260166579279,0.255426898869181,0.276015353464859,0.343807439229222,0.228934031675265,0.365317967536465,43.3850282067324,-38.9441687537981,-26.3649653330267,40.773559758499,38.5566825063516,-30.445276586264,2.61458334784463,-16.1064787198561,-9.69667037504315,-2.30515099169408,-6.40825016121514,-0.00512958347611632,"post-punk",0
"Wire","WIRE On The Box: 1979","2004-10-04","1oLIAQG6xh3a96U5Wki0xt",2004,"4A3tJHK58wXDLUyZStSoWG","Men 2nd - (On the Box - live 1979)",91.9451389065273,-4.70364461643705,0.164826057172366,0.224375037653204,0.504913493175221,0.141967650244739,0.167424068604346,0.122836918473203,0.301294638457415,0.31219736511564,0.144562504394299,0.512213676411312,0.156093005978679,0.215561231425275,52.2699122376504,24.647221855261,9.30390189211197,-2.18717242868048,9.63373479542158,-22.9696706209847,2.00256710471699,-0.301738466452183,-2.63719690670237,-5.04303681341288,-10.5537850506957,1.62378716448174,"post-punk",0
"Joy Division","Everybody's Got to Learn Sometime - The 80's","2023-03-03","782dTJxaUxsFqbqr34x8B8",2023,"2RPMOaZkn9C2aAAqZefUGB","Pet Sematary (Single Version)",136.347082491091,-6.70795838901788,0.516972370654268,0.628291024245504,0.612674191404826,0.446362139933752,0.379131073658563,0.441044016367938,0.451264928741945,0.462975593258033,0.365722762437542,0.394997010644741,0.389554662529488,0.399404494469699,48.0834439757657,63.4414462518471,-13.030520983184,11.0090651654341,6.25597969749874,-18.9583958370485,-2.54734606152052,1.89674251213984,-11.2710909623371,5.92231172017338,-31.197965074429,0.864097876670998,"post-punk",0
